MaintenanceLogID,MachineID,OperatorID,MaintenanceType,StartTime,EndTime,DescriptionOfWork,Cost,Status
1,19,1,Predictive,2025-08-08 15:41:23,2025-08-08 18:50:40,Maintenance triggered by predictive analytics / sensor anomaly threshold.,1031.67,Completed
2,33,15,Corrective,2025-05-24 13:50:54,2025-05-24 22:20:08,Corrective repair performed following identified fault or performance degradation.,4968.47,InProgress
3,13,50,Preventive,2025-08-03 05:44:28,,Routine scheduled preventive maintenance performed per manufacturer guidelines.,279.84,Cancelled
4,20,38,Preventive,2023-06-12 17:47:26,2023-06-12 19:09:49,Routine scheduled preventive maintenance performed per manufacturer guidelines.,1268.83,InProgress
5,13,4,Corrective,2023-08-03 07:46:57,2023-08-03 14:08:24,Corrective repair performed following identified fault or performance degradation.,2560.41,Completed
6,35,1,Corrective,2025-02-09 15:43:36,2025-02-10 03:07:07,Corrective repair performed following identified fault or performance degradation.,2033.89,Completed
7,3,29,Preventive,2024-03-18 12:43:58,2024-03-18 13:56:50,Routine scheduled preventive maintenance performed per manufacturer guidelines.,743.24,Completed
8,19,63,Predictive,2025-06-14 10:03:51,,Maintenance triggered by predictive analytics / sensor anomaly threshold.,546.36,Cancelled
9,12,18,Corrective,2024-09-15 03:42:11,2024-09-15 10:55:51,Corrective repair performed following identified fault or performance degradation.,4751.65,Completed
10,5,68,Emergency,2024-08-23 13:09:22,2024-08-24 00:37:26,Unplanned emergency repair following unexpected machine failure.,12063.16,Completed
11,19,49,Predictive,2023-10-11 13:02:29,2023-10-11 20:21:28,Maintenance triggered by predictive analytics / sensor anomaly threshold.,1183.1,Completed
12,10,38,Preventive,2024-05-20 11:58:21,2024-05-20 16:38:41,Routine scheduled preventive maintenance performed per manufacturer guidelines.,629.53,Completed
13,2,21,Corrective,2024-11-24 09:58:22,2024-11-24 14:23:57,Corrective repair performed following identified fault or performance degradation.,4209.32,Completed
14,16,65,Predictive,2023-12-04 17:56:04,2023-12-04 20:45:32,Maintenance triggered by predictive analytics / sensor anomaly threshold.,516.65,Completed
15,7,12,Preventive,2025-05-12 17:47:40,2025-05-12 22:08:49,Routine scheduled preventive maintenance performed per manufacturer guidelines.,601.47,Completed
16,7,29,Corrective,2025-11-14 12:08:14,2025-11-14 20:43:50,Corrective repair performed following identified fault or performance degradation.,1481.41,Completed
17,10,44,Emergency,2023-11-15 18:54:32,2023-11-16 13:24:51,Unplanned emergency repair following unexpected machine failure.,2080.24,Completed
18,25,72,Corrective,2025-06-02 19:18:39,,Corrective repair performed following identified fault or performance degradation.,2680.49,Scheduled
19,30,38,Preventive,2024-04-14 07:15:16,2024-04-14 11:30:02,Routine scheduled preventive maintenance performed per manufacturer guidelines.,1452.85,Completed
20,28,27,Emergency,2024-01-11 12:09:15,2024-01-12 12:08:40,Unplanned emergency repair following unexpected machine failure.,2295.81,Completed
21,4,44,Predictive,2023-02-23 05:57:14,2023-02-23 09:45:29,Maintenance triggered by predictive analytics / sensor anomaly threshold.,3295.45,Completed
22,29,15,Predictive,2025-06-06 12:17:26,2025-06-06 15:23:20,Maintenance triggered by predictive analytics / sensor anomaly threshold.,2042.14,Completed
23,7,77,Corrective,2025-12-04 17:32:04,2025-12-04 23:27:50,Corrective repair performed following identified fault or performance degradation.,5072.1,Completed
24,11,5,Preventive,2023-08-04 23:33:29,2023-08-05 03:35:04,Routine scheduled preventive maintenance performed per manufacturer guidelines.,265.58,Completed
25,33,16,Emergency,2023-05-01 15:57:32,2023-05-02 14:10:18,Unplanned emergency repair following unexpected machine failure.,11584.8,Completed
26,14,43,Preventive,2023-02-04 05:54:48,2023-02-04 08:22:18,Routine scheduled preventive maintenance performed per manufacturer guidelines.,266.25,Completed
27,3,74,Emergency,2025-09-28 16:47:32,2025-09-29 09:31:15,Unplanned emergency repair following unexpected machine failure.,3577.64,Completed
28,13,42,Corrective,2023-03-21 20:46:44,2023-03-22 02:53:28,Corrective repair performed following identified fault or performance degradation.,5341.43,InProgress
29,7,19,Predictive,2025-03-29 20:47:25,2025-03-30 00:49:08,Maintenance triggered by predictive analytics / sensor anomaly threshold.,2623.39,Completed
30,14,62,Predictive,2025-08-04 14:17:44,2025-08-04 21:12:24,Maintenance triggered by predictive analytics / sensor anomaly threshold.,1873.61,Completed
31,1,21,Preventive,2023-08-23 14:21:54,2023-08-23 16:54:47,Routine scheduled preventive maintenance performed per manufacturer guidelines.,885.16,InProgress
32,18,20,Corrective,2025-01-23 20:40:11,2025-01-24 08:20:14,Corrective repair performed following identified fault or performance degradation.,3182.85,Completed
33,35,1,Corrective,2025-08-18 18:50:57,2025-08-19 00:28:05,Corrective repair performed following identified fault or performance degradation.,3303.74,Completed
34,8,48,Corrective,2024-12-13 03:53:44,,Corrective repair performed following identified fault or performance degradation.,3179.14,Scheduled
35,16,47,Preventive,2024-02-10 21:32:20,2024-02-10 23:23:30,Routine scheduled preventive maintenance performed per manufacturer guidelines.,224.24,InProgress
36,14,22,Emergency,2024-03-16 10:14:30,2024-03-17 07:49:17,Unplanned emergency repair following unexpected machine failure.,14077.53,Completed
37,2,34,Corrective,2024-10-04 02:49:59,2024-10-04 11:11:30,Corrective repair performed following identified fault or performance degradation.,5261.08,Completed
38,7,63,Preventive,2025-07-27 03:51:48,2025-07-27 05:59:52,Routine scheduled preventive maintenance performed per manufacturer guidelines.,378.68,Completed
39,11,60,Preventive,2024-02-05 07:25:42,,Routine scheduled preventive maintenance performed per manufacturer guidelines.,411.2,Scheduled
40,18,77,Corrective,2023-09-18 13:06:16,2023-09-18 15:16:59,Corrective repair performed following identified fault or performance degradation.,2942.78,Completed
41,9,25,Preventive,2025-05-21 00:25:50,2025-05-21 03:18:32,Routine scheduled preventive maintenance performed per manufacturer guidelines.,415.7,Completed
42,8,1,Corrective,2024-09-30 00:08:13,2024-09-30 11:47:53,Corrective repair performed following identified fault or performance degradation.,4300.48,InProgress
43,5,34,Corrective,2023-12-29 02:32:57,2023-12-29 11:34:20,Corrective repair performed following identified fault or performance degradation.,3960.37,Completed
44,6,70,Preventive,2023-05-29 21:50:14,,Routine scheduled preventive maintenance performed per manufacturer guidelines.,601.4,Scheduled
45,19,13,Corrective,2025-03-25 10:34:43,2025-03-25 20:00:30,Corrective repair performed following identified fault or performance degradation.,2521.14,InProgress
46,20,76,Preventive,2024-09-28 22:10:33,2024-09-29 03:12:33,Routine scheduled preventive maintenance performed per manufacturer guidelines.,1099.8,Completed
47,17,23,Predictive,2025-08-03 09:52:33,2025-08-03 13:59:52,Maintenance triggered by predictive analytics / sensor anomaly threshold.,3338.99,Completed
48,10,15,Predictive,2024-03-21 13:31:40,2024-03-21 15:28:35,Maintenance triggered by predictive analytics / sensor anomaly threshold.,2697.76,Completed
49,33,43,Predictive,2024-03-17 11:05:45,2024-03-17 14:55:54,Maintenance triggered by predictive analytics / sensor anomaly threshold.,976.22,Completed
50,9,6,Preventive,2024-07-17 00:52:09,2024-07-17 02:40:08,Routine scheduled preventive maintenance performed per manufacturer guidelines.,501.73,Completed
51,16,19,Preventive,2025-12-14 06:07:21,2025-12-14 08:50:44,Routine scheduled preventive maintenance performed per manufacturer guidelines.,1182.75,Completed
52,31,64,Corrective,2025-12-14 19:47:37,2025-12-14 22:38:51,Corrective repair performed following identified fault or performance degradation.,2414.14,Completed
53,4,20,Predictive,2025-08-30 07:01:58,2025-08-30 13:40:31,Maintenance triggered by predictive analytics / sensor anomaly threshold.,3912.01,InProgress
54,32,23,Preventive,2023-12-05 14:15:05,2023-12-05 16:19:10,Routine scheduled preventive maintenance performed per manufacturer guidelines.,287.4,Completed
55,5,56,Preventive,2024-04-20 12:50:24,2024-04-20 15:04:53,Routine scheduled preventive maintenance performed per manufacturer guidelines.,214.75,Completed
56,22,36,Corrective,2024-01-11 23:36:29,2024-01-12 09:50:00,Corrective repair performed following identified fault or performance degradation.,4444.2,Completed
57,1,36,Preventive,2025-03-26 03:26:59,2025-03-26 06:23:50,Routine scheduled preventive maintenance performed per manufacturer guidelines.,1308.38,Completed
58,10,29,Preventive,2025-03-01 13:17:55,2025-03-01 14:32:41,Routine scheduled preventive maintenance performed per manufacturer guidelines.,313.25,Completed
59,17,63,Preventive,2023-03-11 21:32:08,2023-03-12 00:14:44,Routine scheduled preventive maintenance performed per manufacturer guidelines.,809.04,Completed
60,2,53,Preventive,2024-08-04 02:03:12,2024-08-04 06:35:48,Routine scheduled preventive maintenance performed per manufacturer guidelines.,831.96,Completed
61,12,58,Corrective,2025-12-28 09:21:28,2025-12-28 16:40:51,Corrective repair performed following identified fault or performance degradation.,5784.6,Completed
62,28,4,Preventive,2023-03-16 13:30:12,2023-03-16 16:39:49,Routine scheduled preventive maintenance performed per manufacturer guidelines.,1087.13,Completed
63,34,1,Corrective,2024-06-23 20:24:49,2024-06-24 07:59:57,Corrective repair performed following identified fault or performance degradation.,5373.03,Completed
64,34,25,Corrective,2025-02-05 17:26:03,2025-02-06 00:03:29,Corrective repair performed following identified fault or performance degradation.,2381.47,Completed
65,19,62,Corrective,2025-02-13 05:58:08,2025-02-13 14:36:45,Corrective repair performed following identified fault or performance degradation.,5605.59,Completed
66,12,26,Corrective,2024-10-18 22:09:17,2024-10-19 00:55:33,Corrective repair performed following identified fault or performance degradation.,1929.35,Completed
67,13,34,Preventive,2025-09-01 16:42:18,2025-09-01 19:24:56,Routine scheduled preventive maintenance performed per manufacturer guidelines.,1007.52,Completed
68,16,31,Preventive,2024-07-23 16:22:46,2024-07-23 22:08:19,Routine scheduled preventive maintenance performed per manufacturer guidelines.,1394.64,Completed
69,11,38,Preventive,2025-12-07 06:18:30,2025-12-07 09:44:25,Routine scheduled preventive maintenance performed per manufacturer guidelines.,1366.13,Completed
70,34,28,Preventive,2025-10-01 14:31:01,2025-10-01 19:29:07,Routine scheduled preventive maintenance performed per manufacturer guidelines.,578.84,Completed
71,31,51,Corrective,2025-10-18 10:53:14,2025-10-18 13:31:31,Corrective repair performed following identified fault or performance degradation.,5815.43,Completed
72,5,1,Preventive,2023-05-19 00:53:57,2023-05-19 06:49:18,Routine scheduled preventive maintenance performed per manufacturer guidelines.,1363.8,Completed
73,23,43,Preventive,2024-01-07 04:06:57,2024-01-07 09:18:25,Routine scheduled preventive maintenance performed per manufacturer guidelines.,649.0,Completed
74,32,43,Predictive,2023-12-31 18:53:09,2023-12-31 21:38:31,Maintenance triggered by predictive analytics / sensor anomaly threshold.,3917.49,Completed
75,28,20,Preventive,2024-02-12 08:56:38,2024-02-12 13:10:59,Routine scheduled preventive maintenance performed per manufacturer guidelines.,374.57,Completed
76,11,29,Corrective,2025-12-19 09:24:12,,Corrective repair performed following identified fault or performance degradation.,1401.75,Scheduled
77,13,77,Preventive,2024-04-13 21:32:14,2024-04-13 23:50:56,Routine scheduled preventive maintenance performed per manufacturer guidelines.,1317.82,Completed
78,5,49,Corrective,2023-05-30 06:48:05,2023-05-30 11:53:16,Corrective repair performed following identified fault or performance degradation.,5585.85,InProgress
79,11,14,Predictive,2024-06-03 22:54:40,2024-06-04 03:03:01,Maintenance triggered by predictive analytics / sensor anomaly threshold.,2361.18,InProgress
80,1,61,Emergency,2023-03-04 01:23:25,2023-03-04 08:15:14,Unplanned emergency repair following unexpected machine failure.,4564.78,Completed
81,7,62,Corrective,2025-01-23 00:40:29,2025-01-23 08:35:17,Corrective repair performed following identified fault or performance degradation.,1944.62,Completed
82,24,55,Corrective,2025-03-31 19:49:40,2025-04-01 04:21:58,Corrective repair performed following identified fault or performance degradation.,5889.47,Completed
83,29,69,Preventive,2025-04-16 03:24:42,2025-04-16 04:34:01,Routine scheduled preventive maintenance performed per manufacturer guidelines.,1251.07,Completed
84,32,52,Corrective,2024-05-23 01:43:28,,Corrective repair performed following identified fault or performance degradation.,3300.04,Cancelled
85,31,64,Preventive,2024-02-02 06:43:28,2024-02-02 09:48:51,Routine scheduled preventive maintenance performed per manufacturer guidelines.,801.47,Completed
86,21,17,Corrective,2025-02-03 11:52:12,2025-02-03 14:13:42,Corrective repair performed following identified fault or performance degradation.,4969.6,Completed
87,32,44,Preventive,2023-11-13 19:21:21,2023-11-14 00:01:25,Routine scheduled preventive maintenance performed per manufacturer guidelines.,419.96,Completed
88,13,41,Preventive,2025-09-07 12:30:37,2025-09-07 14:09:13,Routine scheduled preventive maintenance performed per manufacturer guidelines.,1073.62,Completed
89,30,25,Emergency,2023-05-09 00:13:54,2023-05-09 23:28:38,Unplanned emergency repair following unexpected machine failure.,13896.82,Completed
90,31,32,Preventive,2024-12-12 07:11:24,2024-12-12 09:08:21,Routine scheduled preventive maintenance performed per manufacturer guidelines.,272.76,Completed
91,23,23,Predictive,2023-10-02 21:52:42,2023-10-02 23:34:18,Maintenance triggered by predictive analytics / sensor anomaly threshold.,2163.08,InProgress
92,20,58,Preventive,2024-09-16 13:54:58,2024-09-16 15:39:06,Routine scheduled preventive maintenance performed per manufacturer guidelines.,1030.33,Completed
93,1,57,Preventive,2025-11-09 15:47:57,,Routine scheduled preventive maintenance performed per manufacturer guidelines.,388.4,Scheduled
94,10,39,Corrective,2024-10-10 09:46:59,2024-10-10 19:01:48,Corrective repair performed following identified fault or performance degradation.,2364.82,InProgress
95,25,71,Preventive,2025-04-10 08:04:28,,Routine scheduled preventive maintenance performed per manufacturer guidelines.,459.58,Scheduled
96,1,51,Preventive,2025-01-17 11:23:17,2025-01-17 14:56:36,Routine scheduled preventive maintenance performed per manufacturer guidelines.,929.06,Completed
97,26,64,Preventive,2025-11-23 07:19:48,2025-11-23 13:16:57,Routine scheduled preventive maintenance performed per manufacturer guidelines.,1097.38,Completed
98,30,27,Corrective,2024-08-17 11:08:16,,Corrective repair performed following identified fault or performance degradation.,5521.62,Scheduled
99,6,65,Preventive,2023-10-09 08:32:09,2023-10-09 13:44:02,Routine scheduled preventive maintenance performed per manufacturer guidelines.,365.0,Completed
100,6,79,Preventive,2024-04-11 13:53:37,,Routine scheduled preventive maintenance performed per manufacturer guidelines.,726.07,Cancelled
101,25,46,Emergency,2024-06-21 09:33:02,2024-06-22 06:08:34,Unplanned emergency repair following unexpected machine failure.,3020.36,Completed
102,26,76,Corrective,2023-07-02 11:07:19,2023-07-02 17:56:19,Corrective repair performed following identified fault or performance degradation.,5126.81,Completed
103,9,6,Corrective,2023-09-20 15:05:46,2023-09-20 18:05:08,Corrective repair performed following identified fault or performance degradation.,3184.38,Completed
104,26,38,Corrective,2023-01-02 23:59:26,2023-01-03 08:18:37,Corrective repair performed following identified fault or performance degradation.,2875.34,Completed
105,11,74,Preventive,2025-08-13 13:09:10,2025-08-13 18:12:34,Routine scheduled preventive maintenance performed per manufacturer guidelines.,751.14,Completed
106,8,7,Corrective,2024-07-24 11:31:32,2024-07-24 15:53:02,Corrective repair performed following identified fault or performance degradation.,1331.5,Completed
107,2,68,Corrective,2024-12-09 11:28:10,,Corrective repair performed following identified fault or performance degradation.,1048.1,Cancelled
108,35,53,Emergency,2025-11-18 17:31:11,2025-11-19 10:00:36,Unplanned emergency repair following unexpected machine failure.,6206.93,Completed
109,28,35,Preventive,2023-01-24 20:41:56,2023-01-24 21:49:14,Routine scheduled preventive maintenance performed per manufacturer guidelines.,616.65,Completed
110,2,79,Corrective,2024-01-04 15:55:00,2024-01-04 20:11:36,Corrective repair performed following identified fault or performance degradation.,3351.53,Completed
111,17,49,Preventive,2024-05-30 06:03:28,2024-05-30 09:52:20,Routine scheduled preventive maintenance performed per manufacturer guidelines.,938.71,Completed
112,23,29,Predictive,2023-10-09 19:39:59,2023-10-10 02:07:12,Maintenance triggered by predictive analytics / sensor anomaly threshold.,1537.14,Completed
113,25,74,Corrective,2023-01-15 17:24:16,2023-01-16 04:58:38,Corrective repair performed following identified fault or performance degradation.,2823.91,Completed
114,22,24,Corrective,2023-06-21 00:04:28,2023-06-21 11:36:19,Corrective repair performed following identified fault or performance degradation.,4572.92,Completed
115,5,66,Preventive,2023-12-08 14:21:50,2023-12-08 18:35:40,Routine scheduled preventive maintenance performed per manufacturer guidelines.,560.05,Completed
116,24,6,Preventive,2023-05-14 19:20:30,2023-05-14 21:06:50,Routine scheduled preventive maintenance performed per manufacturer guidelines.,611.72,Completed
117,31,21,Preventive,2025-10-13 19:48:59,2025-10-13 21:38:01,Routine scheduled preventive maintenance performed per manufacturer guidelines.,326.62,Completed
118,33,19,Preventive,2025-10-13 00:26:20,2025-10-13 04:51:00,Routine scheduled preventive maintenance performed per manufacturer guidelines.,705.79,Completed
119,33,19,Preventive,2025-07-16 02:51:39,2025-07-16 08:28:31,Routine scheduled preventive maintenance performed per manufacturer guidelines.,791.96,Completed
120,20,2,Preventive,2023-07-30 18:10:06,2023-07-30 22:42:06,Routine scheduled preventive maintenance performed per manufacturer guidelines.,1194.8,Completed
121,31,70,Corrective,2024-01-14 06:42:32,2024-01-14 12:21:58,Corrective repair performed following identified fault or performance degradation.,3480.36,Completed
122,27,58,Emergency,2023-05-01 09:58:50,2023-05-01 17:38:02,Unplanned emergency repair following unexpected machine failure.,8699.52,Completed
123,3,28,Preventive,2023-11-02 08:17:36,2023-11-02 09:23:04,Routine scheduled preventive maintenance performed per manufacturer guidelines.,1067.56,Completed
124,9,55,Predictive,2025-06-07 20:25:16,2025-06-08 00:28:16,Maintenance triggered by predictive analytics / sensor anomaly threshold.,2579.17,Completed
125,32,60,Predictive,2025-05-11 22:49:27,2025-05-12 03:23:03,Maintenance triggered by predictive analytics / sensor anomaly threshold.,2056.15,Completed
126,19,37,Corrective,2024-07-02 10:03:39,2024-07-02 13:50:08,Corrective repair performed following identified fault or performance degradation.,5196.25,Completed
127,34,43,Corrective,2025-05-23 20:30:57,2025-05-23 23:35:39,Corrective repair performed following identified fault or performance degradation.,5304.9,Completed
128,15,9,Preventive,2025-07-24 19:02:55,,Routine scheduled preventive maintenance performed per manufacturer guidelines.,1427.29,Scheduled
129,9,35,Preventive,2025-05-16 23:00:51,2025-05-17 04:49:11,Routine scheduled preventive maintenance performed per manufacturer guidelines.,748.88,Completed
130,24,27,Emergency,2024-07-29 06:21:27,2024-07-29 12:10:17,Unplanned emergency repair following unexpected machine failure.,2301.31,InProgress
131,31,13,Preventive,2024-07-31 23:24:47,,Routine scheduled preventive maintenance performed per manufacturer guidelines.,952.03,Scheduled
132,6,49,Corrective,2024-01-13 03:39:16,2024-01-13 12:10:29,Corrective repair performed following identified fault or performance degradation.,3478.64,Completed
133,14,61,Corrective,2023-12-23 02:00:53,2023-12-23 07:16:15,Corrective repair performed following identified fault or performance degradation.,3112.15,Completed
134,27,56,Preventive,2025-03-13 16:49:12,2025-03-13 18:33:02,Routine scheduled preventive maintenance performed per manufacturer guidelines.,662.11,Completed
135,33,42,Preventive,2025-07-25 03:38:32,2025-07-25 04:42:30,Routine scheduled preventive maintenance performed per manufacturer guidelines.,1078.89,Completed
136,22,77,Preventive,2025-07-29 04:01:57,2025-07-29 09:56:17,Routine scheduled preventive maintenance performed per manufacturer guidelines.,770.18,Completed
137,15,54,Preventive,2023-08-03 18:20:35,2023-08-03 21:07:35,Routine scheduled preventive maintenance performed per manufacturer guidelines.,260.9,Completed
138,30,31,Preventive,2024-04-02 08:18:14,2024-04-02 09:44:36,Routine scheduled preventive maintenance performed per manufacturer guidelines.,1045.93,Completed
139,28,40,Predictive,2025-12-02 19:27:07,2025-12-02 21:28:47,Maintenance triggered by predictive analytics / sensor anomaly threshold.,1704.28,Completed
140,2,71,Preventive,2025-10-07 19:51:28,2025-10-08 01:37:26,Routine scheduled preventive maintenance performed per manufacturer guidelines.,605.05,Completed
141,14,53,Corrective,2023-11-24 17:33:01,2023-11-24 20:54:42,Corrective repair performed following identified fault or performance degradation.,1582.77,Completed
142,9,12,Corrective,2024-05-04 00:23:58,2024-05-04 07:13:23,Corrective repair performed following identified fault or performance degradation.,1388.07,Completed
143,11,80,Predictive,2024-12-08 21:23:58,2024-12-09 02:25:47,Maintenance triggered by predictive analytics / sensor anomaly threshold.,1181.34,Completed
144,26,46,Corrective,2025-09-30 05:50:16,2025-09-30 10:00:45,Corrective repair performed following identified fault or performance degradation.,5317.26,Completed
145,9,14,Preventive,2024-04-30 20:52:20,2024-04-30 22:50:29,Routine scheduled preventive maintenance performed per manufacturer guidelines.,611.41,Completed
146,18,26,Corrective,2023-03-28 13:38:09,2023-03-28 16:00:55,Corrective repair performed following identified fault or performance degradation.,2997.68,Completed
147,17,42,Corrective,2024-07-18 04:50:04,,Corrective repair performed following identified fault or performance degradation.,2698.91,Cancelled
148,10,20,Predictive,2024-06-14 04:54:41,2024-06-14 11:53:16,Maintenance triggered by predictive analytics / sensor anomaly threshold.,3307.47,Completed
149,17,32,Corrective,2025-08-21 19:45:20,2025-08-22 05:11:05,Corrective repair performed following identified fault or performance degradation.,5742.33,Completed
